ID,group,hrs,saa,FGF-2,Eotaxin,G-CSF,IL1a,GM-CSF,Fractalkine,IL-13,IL-5,IL-18,IL1B,IL-6,IL-17A,IL-2,IL-4,IL-12,IFNg,IL-8,IP-10,GRO,MCP-1,IL-10,TNFa,RANTES
1079,LB20,48,700,15,14,19,20,17,18,16,208.5,206.5,216.5,200,17,195,214,14,197,289,216,16,13,186,173,22
1079,LB40,72,686,14,14,17,18,16,19,15,176,167,187,168,17,166,186,14,175,240,206,17,13,158,149,23
597,LB40,0,0,11,9,10,12,9,10,8,22,42,23,17,10,17,15,7,15,90,18,9,7,45,17,15
597,LB40,0.5,0,11,10,10,13,10,10,9,21,42.5,24,19,11,18,16,8,16,139,24,10,8,43,18,15
597,LB40,1,0,11,9,9,12,9,10,8,20,38,22,19,10,16,14,7,15,167,24,9,7,38.5,18,15
597,LB40,2,0,12,9,10,13,10,10,8,21,42,24,19,11,17,15,8,16,209,18,10,9,42,19,15
597,LB40,4,0,12,10,10,13,10,11,9,22,41,24,19,11,18,16,8,17,129,24,10,8,47,18,15
597,LB40,8,0,13,10,10,13,10,11,8,23,44,25,19,11,19,15,8,18,160,24,10,8,55,20,15
597,LB40,24,86,12,10,10,13,10,11,8,22,46,26,21,11,19,16,8,17,172.5,25,10,8,52,21,15
597,LB40,48,126,12,10,11,13,11,10,9,22,50,27,21,11,18,16,8,18,200,21,10,8,40,20,15
597,LB40,72,112,10,10,9,12,10,10,7,20,50,23.5,19,10,18,15,7,18,208,20,9,7,35,17,14
9372,LB40,0,0,12,9,10,11,12,10,8,17,16,21,16,10,13,15,7,15,44,16,10,8,33,13,14
9372,LB40,0.5,0,11,9,9,11,11,9,7,19,16,25,16,10,12,14,7,15,36,16,9,7,30,12,13
9372,LB40,1,0,12,9,10,11,11,9,8,16,16,21,17,10,13,14,8,15,168,13,10,8,28.5,13,14
9372,LB40,2,0,12,9,10,12,11,10,8,17,16,22,17,11,14,14,8,16,172,16,10,8,31,13,15
9372,LB40,4,0,11,9,11,11,12,10,8,16,15,26,17,11,14,14,8,15,22,11,10,8,30,13,13.5
9372,LB40,8,0,11,9,10,11,11.5,10,8,17,16,21,17,11,14,15,8,16,49,17,10,8,37,13,14
9372,LB40,24,78,13,10,12,12,12,10,8,18,17,22,18,11,14,15,8,16,137,19,11,8,34,13.5,14
9372,LB40,48,316,10,9,9.5,11,18,9,7,16,15,20,17,10,13,14,7,14,169,16,10,7,25,12,13
9372,LB40,72,180,10,9,9,11,12,9,7,17,15,20,16,10,13,14,7,15,163,16,9,7,25,12,13
8342,LB20,0,0,9,9,10,12,12,10,8,22,27,21,22,16,18,21,8,24,155,18,11,7,29,16,15
8342,LB20,0.5,0,10,9,10,12,13,11,9,22,26,30,22,16,17,20,9,23,159,19,11,8,30,16,16
8342,LB20,1,0,10,10,11,13,16,11,9,23,28,20,23,16,19,20,8,24,174,17,11,8,31,17,16
8342,LB20,2,0,11,10,11,12,12,11,8,22,22,20,19,17,15,18,8,22,179,18,11,8,28,15,15
8342,LB20,4,0,11,10,12,12,13,11,9,22,21,19,19,17,15,18,9,20,180,18,16,9,28,15,16
8342,LB20,8,0,11,10,11,13,13,12,9,22,25,20,21,16,17,20,9,24,188,19,14,9,33,16,17
8342,LB20,24,1568,9,9,10,11,11,10,8,20,23,18,18,17,15,18,7,20,138,20,9,7,28,14,15
8342,LB20,48,2192,9,9,10,12,11,10,8,20,22,19,20,16,16,19,8,22,176,19,20,7,26,15,15
8342,LB20,72,2682,10,9,10,11,12,10,8,19,23,19,18.5,17,15,17,8,19,193,19,10,8,24,14,15.5
PEG,LB20,0,0,15,11,10,15,13,11,9,26,20,30,22,11,16,21,7,22.5,126,69,10,8,33,17,19
PEG,LB20,0.5,0,18,11,11,17,15,11,9,25,22,30,23,11,16,20,7,23,212,55,30,8,34,19,18
PEG,LB20,1,0,14,11,11,15,12.5,11,9,24,19,27,19,11,15,19,8,21,172,67,11,9,30,16,19
PEG,LB20,2,0,14,9,9,15,11,10,8,20,16,27,18,10,13,18,6,20,139,52,19,7,29,15,14
PEG,LB20,4,275,13,9,9,14,11,10,8,21.5,15,26,17,10,13,17,6,20,46,63,9,7,31,15,14
PEG,LB20,8,0,17,11,11,17,15,12,9,25,19,31,22,12,15,21,7,24,121,57,10,8,44,21,15
PEG,LB20,24,56,16,10,11,17,13,11,8,22,17,26,21,11,13,19,7,21,146,47,17,7,31.5,18,15
PEG,LB20,48,486,13,10,12,15,12,11,9,21,17,28,19,12,14,19,7,21,91,58,10,8,31,15,15
PEG,LB20,72,747,16,10,10,16,13,11,9,21,16,25,20,11,13,18,6,20,136,53,12,7,29,18,14
8293,LB40,0,0,12,11,13,13,18,11,12,80,118.5,121,57,14,45,135,8,113,71,26,10,9,58,31,18
8293,LB40,0.5,0,12,11,14,13,18,12,14,98,135,128,61,15,49,150,8,123,125,29,11,9,61,34,19
8293,LB40,1,0,11,11,13,13,18,11,12,82,113.5,118.5,51,14,41,130,7,111,74,26,10,8.5,56,29,18
8293,LB40,2,0,11,11,13,12,19,11,13,79,114,121,49,14,40,135,7,117,124,26,11,9,55,29,18
8293,LB40,4,0,10,10,12,12,18,10,12,73,108,114,49,13,39,126,7,110,118,26,11,8,55,28,17
8293,LB40,8,0,12,11,13,13,18,11,12,81,120,124,55,14,46,135,7,116,61,28,10,9,64,33,18
8293,LB40,24,88,12,11,13,13,19,11,13,96,146,134,71,14,58,152,8,128,158,29,13,9,68,38,18
8293,LB40,48,0,11,10,13,12,18,11,12,81,114,123,52,14,42,133,8,114,66,26,10,9,57,29,18
8293,LB40,72,212,12.5,11,13,13,19,12,12,83,122,126,54,14,43,139,7,121,130,27,10,9,59,32,18
LIB,control,0,0,7,8,10,11,10,9,7,17,13,23,16,10,13,15,7,15,149,19,9,7,29,15,15
LIB,control,0.5,0,9,9,9,13,12,9,8,35,40,33,27,11,28,27,7,27,112,28,9,7,44.5,24,14
LIB,control,1,0,10,9,10,13,13,9,8,34,41,33,28,11,28,26,7,26.5,140,28,24,7,43,24,14
LIB,control,2,0,10,9,10,14,13,10,9,35,41,34,28,11,31,28,7,28,127,30,11,8,44,25,15
LIB,control,4,0,10,9,9.5,13,11,9,8,31,36,30,24,10,27,24,7,24,113,27,9,7,41,22,14
LIB,control,8,0,10,8,9,12,12,9,8,29,32,28,23,10,24,24,6,24,78,29,9,7,38,20,14
LIB,control,24,39,11,10,10.5,14,13,10,9,39,46,37,31,11,32,28,7,30,149,31,35,8,52,30,16
LIB,control,48,50,11,9,11,14,13,11,9,36,43,36,30,12,30.5,28,8,29,138,31,10,8,53,28,16
LIB,control,72,61,9,9,11,13,12,9,8,34,38,32,27,11,28,25.5,7,26,130,27,10,7,45,24,15
AB,LB40,0,1716,9,8,9,12,11,9,8,28,32,26,23,9,24,23.5,6,22,85,26,9,6,33,19,14
AB,LB40,0.5,2146,9,8,9,12,12,9,8,27,32,26,23,10,24,22,7,23,117,23,18,7,32,18,14
AB,LB40,1,1793,9,9,10,12,12,9,8,27,33,27,21,10,23,22,7,21,97,23,9,7,30,18,15
AB,LB40,2,1653,9,8,9,12,11,9,8,30,34,28,23,10,26,25,6,23,103,25,9,7,35,19,14.5
AB,LB40,4,2298,10,9,10,12,12,10,8,29,33,27,23,10,24,24,7,24,68,26,10,7,36,19,14
AB,LB40,8,2347,10,9,12,13,12,10,8,27,31,26,24,10,23,21,7,21,116,24,27,7,32,20,15
AB,LB40,24,1929,10,9,9,14,12,10,9,29,34,28,24,11,25,24,8,24,103,21,10,8,40,21,15
AB,LB40,48,2397,11,9,11,13,14,10,8,32,35,30,27,11,26,26,7,24,117,26,10,8,38,22.5,15
AB,LB40,72,2033,9,8,10,12,11.5,9,7,28,33,27,24,10,25,23,6,24,115,23,12,6,36,20,14
NEG,control,0,0,9,9,12,12,11,10,10,50,158,30.5,65,11,59,69,8,42,121,28,9,9,54,41,16
NEG,control,0.5,0,10,10,12,12,12,10.5,10,47,145,30,59,12,52.5,64,9,40,123,43,10,10,49,37,18
NEG,control,1,0,10,10,11.5,12,12,10,9,44,132,28,52,12,45,59,8,36,80,26,10,10,45,34,17
